응답일,구매제품,만족도,재구매의향,자유응답
2026-04-01,감바스 알 아히요,3,모름,맛은 괜찮은데 양이 조금 아쉬워요.
2026-04-02,감바스 알 아히요,3,모름,새우 크기가 생각보다 작았어요.
2026-04-02,들기름막국수,3,예,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-04-03,감바스 알 아히요,3,아니오,기름이 좀 많은 편이라 느끼했어요.
2026-04-03,감바스 알 아히요,3,아니오,기름이 좀 많은 편이라 느끼했어요.
2026-04-03,감바스 알 아히요,4,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-04,들기름막국수,5,예,레스토랑 부럽지 않은 맛이에요.
2026-04-04,감바스 알 아히요,4,예,레스토랑 부럽지 않은 맛이에요.
2026-04-05,감바스 알 아히요,3,예,가격이 조금 부담돼서 할인할 때 살 것 같아요.
2026-04-05,트러플리조또,4,모름,레스토랑 부럽지 않은 맛이에요.
2026-04-05,트러플리조또,3,모름,무난했어요. 특별하진 않지만 편해요.
2026-04-05,트러플리조또,5,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-05,트러플리조또,5,모름,조리법이 쉬워서 요리 초보도 성공했어요.
2026-04-06,들기름막국수,1,아니오,배송이 하루 늦어서 계획한 날 못 먹었어요.
2026-04-07,들기름막국수,3,모름,배송은 좋았는데 간이 제 입맛엔 셌어요.
2026-04-08,트러플리조또,4,예,간편하게 근사한 한 끼가 완성됐어요.
2026-04-10,트러플리조또,2,모름,가격 대비 양이 적은 느낌이에요.
2026-04-11,감바스 알 아히요,4,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-04-11,트러플리조또,1,아니오,가격 대비 양이 적은 느낌이에요.
2026-04-11,트러플리조또,5,예,손질된 재료라 설거지가 적어서 좋아요.
2026-04-11,감바스 알 아히요,5,예,레스토랑 부럽지 않은 맛이에요.
2026-04-12,들기름막국수,4,예,면발이 쫄깃하고 시원하게 잘 먹었어요.
2026-04-12,감바스 알 아히요,4,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-04-12,감바스 알 아히요,4,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-12,감바스 알 아히요,4,예,가족들이 다 잘 먹어서 또 시켰어요.
2026-04-13,트러플리조또,5,예,포장이 꼼꼼해서 신선하게 받았습니다.
2026-04-13,들기름막국수,4,예,면발이 쫄깃하고 시원하게 잘 먹었어요.
2026-04-14,감바스 알 아히요,4,예,손질된 재료라 설거지가 적어서 좋아요.
2026-04-14,들기름막국수,5,모름,조리법이 쉬워서 요리 초보도 성공했어요.
2026-04-14,감바스 알 아히요,4,아니오,가족들이 다 잘 먹어서 또 시켰어요.
