날짜,제품명,채널,판매수량,매출액,환불건수
2026-04-01,감바스 알 아히요,자사몰,14,180600,0
2026-04-01,감바스 알 아히요,스마트스토어,19,245100,1
2026-04-01,감바스 알 아히요,쿠팡,30,387000,0
2026-04-01,들기름막국수,자사몰,7,69300,1
2026-04-01,들기름막국수,스마트스토어,6,59400,0
2026-04-01,들기름막국수,쿠팡,7,69300,0
2026-04-01,트러플리조또,자사몰,11,163900,0
2026-04-01,트러플리조또,스마트스토어,12,178800,0
2026-04-01,트러플리조또,쿠팡,15,223500,0
2026-04-02,감바스 알 아히요,자사몰,12,154800,0
2026-04-02,감바스 알 아히요,스마트스토어,16,206400,0
2026-04-02,감바스 알 아히요,쿠팡,20,258000,0
2026-04-02,들기름막국수,자사몰,6,59400,0
2026-04-02,들기름막국수,스마트스토어,6,59400,0
2026-04-02,들기름막국수,쿠팡,9,89100,0
2026-04-02,트러플리조또,자사몰,11,163900,0
2026-04-02,트러플리조또,스마트스토어,10,149000,0
2026-04-02,트러플리조또,쿠팡,16,238400,0
2026-04-03,감바스 알 아히요,자사몰,14,180600,0
2026-04-03,감바스 알 아히요,스마트스토어,17,219300,1
2026-04-03,감바스 알 아히요,쿠팡,29,374100,1
2026-04-03,들기름막국수,자사몰,6,59400,0
2026-04-03,들기름막국수,스마트스토어,8,79200,0
2026-04-03,들기름막국수,쿠팡,9,89100,1
2026-04-03,트러플리조또,자사몰,8,119200,0
2026-04-03,트러플리조또,스마트스토어,14,208600,0
2026-04-03,트러플리조또,쿠팡,14,208600,0
2026-04-04,감바스 알 아히요,자사몰,18,232200,0
2026-04-04,감바스 알 아히요,스마트스토어,21,270900,0
2026-04-04,감바스 알 아히요,쿠팡,29,374100,0
2026-04-04,들기름막국수,자사몰,6,59400,0
2026-04-04,들기름막국수,스마트스토어,9,89100,0
2026-04-04,들기름막국수,쿠팡,11,108900,0
2026-04-04,트러플리조또,자사몰,13,193700,1
2026-04-04,트러플리조또,스마트스토어,13,193700,0
2026-04-04,트러플리조또,쿠팡,13,193700,0
2026-04-05,감바스 알 아히요,자사몰,14,180600,0
